taxa, Yield_MI18 , Yield_MI19 , Yield_NE18 , Yield_NE19 , SW_MI18 , SW_MI19 , SW_NE18 , SW_NE19 , FeBio_MI18 , FeBio_MI19 , Fe_MI18 , Fe_MI19 , Fe_NE18 , Fe_NE19 , Zn_MI18 , Zn_MI19 , Zn_NE18 , Zn_NE19 ,Chr07pos29169848,CT_MI,CT_NE,Seed_type,Country,ID,STRUCTURE,Genepool
YBC013, NA , NA ,"1,459.20",733, NA , NA ,14.6,25.5, NA , NA , NA , NA , NA ,63.9, NA , NA , NA ,27.3,TT,NA,122.5,Amarillo (lt),Colombia,PI207336,Jalisco&Durango,Middle American
YBC014,"1,956.80","1,977.40","1,822.00",995.5,17.8,18.4,18.5,27.2,43.5,33.5,75.2,69.2,42.3,52.2,31.8,28.6,26.1,27.9,TT,49.7,124.5,Amarillo (lt),Nicaragua,PI209478,Mesoamerica,Middle American
YBC015,"2,211.30","1,107.80","2,397.90",974.2,27.2,26.7,27.5,28.7,32,35.5,64.8,87.7,44.4,51.9,29.5,29.3,21,25.5,TT,30,85,Amarillo (lt),Iran,PI222819,Jalisco&Durango,Middle American
YBC017,"2,493.70","2,006.40","1,500.50",554.2,54.5,49.4,44.1,31,40.5,41,86,65.7,49.2,49.8,30.6,25.7,22.4,22.3,TT,29.7,34.5,Canary,Ukraine,PI226864,Andean,Andean
YBC018,"1,756.30","1,059.30","1,930.50",508,23.5,26.8,21.7,27.4,26.5,28.5,63.8,68.6,50.6,59.2,26.7,24.1,23.4,28,TT,34.8,56.3,Amarillo (dk),Germany,PI226938,Andean,Andean
YBC021,"1,390.10","1,167.60","1,567.50",612,35.7,36,25.8,28.5,19.5,21.5,42.8,57.1,41.5,49.4,21.6,24.7,20.9,24.5,TT,32.2,41.3,Canary,Hungary,PI289407,Andean,Andean
YBC022,"1,399.20",969.4,"1,202.80",395.7,35.8,35.1,26.3,29,18.5,19.5,57.3,50.3,51.3,51.5,27.8,23.8,23.1,24.4,TT,30.7,37.3,Canary,Hungary,PI289408,Andean,Andean
YBC024,"2,823.50","1,468.60","2,761.10","1,032.50",26.1,27.5,22.5,27.5,27.5,30.5,67.1,72.5,41.4,43.4,23.9,29.9,23.5,25.4,TT,26.6,74,Amarillo (lt),Ecuador,PI299019,Andean,Andean
YBC025,"1,716.90","1,540.70","1,854.70",435.6,40.5,48.6,38.1,30.1,31.5,31.5,79.3,57.5,40.4,48.5,34.2,27,27.9,29.2,TT,23.9,54.3,Canary,South Africa,PI300090,Andean,Andean
YBC026,"2,128.40","2,639.30","1,706.10",557.6,40.7,44,33.6,30.1,27,28.5,53,65.7,40.9,54.7,25,29.2,24.7,27.3,TT,27.6,56,Canary,Mexico,PI309709,Andean,Andean
YBC028,"1,705.90","1,851.90","2,922.10","1,717.90",24.8,27.1,23.7,28,31.5,29.5,67.9,73.3,42.9,60.1,28,30.8,24.3,28.4,TT,30.2,37.3,Amarillo (lt),Mexico,PI309718,Jalisco&Durango,Middle American
YBC029,"2,456.00","1,508.30","3,562.70","2,124.40",22.2,22.2,21.9,27.4,16.5,18.5,68.3,59.5,53.2,52.1,24.2,25.3,23.2,23.3,TT,34.9,89.5,Amarillo (lt),Mexico,PI309760,Andean,Andean
YBC030,"2,094.70","1,413.40","2,590.40",912,20.1,20.6,18.8,26.4,31,42.5,63.3,71.8,57.4,50.3,26.4,26.5,26.8,28.1,TT,27.2,64.5,Amarillo (lt),Mexico,PI309787,Jalisco&Durango,Middle American
YBC034,"2,520.10","1,575.00", NA , NA ,41.6,32.8, NA , NA ,102.5,102.5,78.9,60.5, NA , NA ,30.5,27.1, NA , NA ,TT,35.6,NA,Amarillo (lt),Mexico,PI312090,Jalisco&Durango,Middle American
YBC035,"1,903.70","1,531.20","2,522.80",888.3,19.9,21.4,18.8,26.6,25,31,89.3,60.9,52.5,53.4,26.8,26.5,24.5,31.6,TT,25.5,70.3,Amarillo (lt),Mexico,PI312091,Jalisco&Durango,Middle American
YBC036,"2,271.10","1,786.50","1,908.20","1,052.00",40.6,40.4,29.5,27.9,24,21.5,83.3,61.3,57.7,54.5,32.7,29.2,29.8,27.5,TT,27.5,34,Canary,Mexico,PI311962,Andean,Andean
YBC041,"1,402.10",727.8,"1,472.30",179.4,41.5,53,37.1,28.2,21,19,48.5,45.8,44.6, NA ,23.1,20.2,23, NA ,TT,22.3,42.5,Mayocoba,Colombia,PI313598,Andean,Andean
YBC045,"2,664.40","1,947.40","1,529.90",843.7,50.4,47.3,39.4,31.2,17,23,56.9,58,29.9,46.6,23.4,23.9,24.4,27.1,TT,33.6,84.5,Canary,Peru,PI313844,Andean,Andean
YBC046,"2,541.10","2,275.60","1,620.40",791.2,44.9,44.2,41.2,31.1,23.5,21,62.3,62.6,31.8,51.8,27.9,26.2,26.4,26.6,TT,33.1,77.3,Canary,Mexico,PI319560,Andean,Andean
YBC047,"2,251.10","1,113.80","2,785.90",853.8,25.4,28.7,24.5,28.7,30,36.5,70.1,70.8,51.7,52.1,27.9,33.4,30.8,26,TT,26.9,42.8,Amarillo (lt),Mexico,PI319619,Jalisco&Durango,Middle American
YBC049,"1,485.60","1,235.80","1,717.40",988.5,33,37.2,33.1,30.1,84.5,95,55.8,53.9,43.1,38.8,25.1,23.9,21.2,24.5,TT,23.8,69.8,Mayocoba,Hungary,PI324544,Jalisco&Durango,Middle American
YBC050,"1,734.30","1,553.30","2,576.20","1,052.40",42.3,43.8,36,29.8,34.5,39,105.3,60.4,34.6,47.5,29.5,25.2,27.1,24.6,TT,36,36.8,Amarillo (dk),Hungary,PI324614,Andean,Andean
YBC051,"1,604.60","1,012.40","1,495.70",597.1,36,39.4,33.1,29.1,17.5,15,76.1,68.4,57.6,71.7,32.2,29.3,33.3,33.4,TT,24.1,46,Amarillo (dk),Hungary,PI324691,Andean,Andean
YBC052,"2,104.40","1,925.00","1,671.60",508.9,38.6,41.7,33.4,29.8,42.5,36.5,81.8,57.6,45.2,55.1,30.8,28.4,24.9,28.5,TT,27.6,60.5,Canary,Mexico,PI325722,Andean,Andean
YBC053,"2,331.30","1,776.80","2,013.40",772.5,38.6,41.8,35.5,29.7,41.5,20.5,63,65.4,37.8,47.3,25.6,31,25.4,27.4,TT,28.3,73.5,Canary,Brazil,PI337019,Andean,Andean
YBC054,"1,754.50","1,631.80","1,379.80",478,50.2,45,41.3,31,69.5,68.5,85.8,63.2,30.9,50.7,28.2,27.6,22,22,TT,26.2,39.3,Canary,Africa,PI353479,Andean,Andean
YBC055,"2,385.70","1,979.50",689.2, NA ,35.9,39.4,27.3, NA ,27.5,24,68.9,55.2,32.7, NA ,25.6,26.3,24.7, NA ,NN,28.1,38.5,Canary,India,PI361525,Andean,Andean
YBC056,"1,475.30","1,062.50","1,580.80",97.9,39.3,42.6,34.8,28.2,35,34.5,61,60.9,44.6, NA ,30.5,31.4,32.1, NA ,NN,29.6,57.3,Canary,Macedonia,PI368723,Andean,Andean
YBC057,"1,706.30","1,364.50","2,378.30","1,153.80",31.5,30.1,30.5,29.4,60.5,50,74.8,64.1,38.6,48.8,27.1,29.8,27.8,30.6,TT,24.8,76,Amarillo (lt),Macedonia,PI370594,Jalisco&Durango,Middle American
YBC059,"2,592.80","2,160.60","2,092.40","1,034.20",44,43.7,37.8,30.6,31,27.5,67.5,67.9,49.1,41.7,25.9,25.5,26,27,TT,26.4,49.5,Amarillo (dk),Canada,PI406145,Admix,Admixture
YBC061,"1,522.60",868,"1,812.60",748.4,39.9,40.8,34.3,29.9,30.5,22.5,59.6,58.1,46.7,48.5,31.6,28.1,20.1,25.3,TT,28.7,47.8,Amarillo (dk),Iran,PI416643,Andean,Andean
